"","date","avg_danceability","avg_energy","avg_loudness","avg_speechiness","avg_acousticness","avg_instrumentalnes","avg_liveness","avg_valence","avg_tempo"
"1","2018-01-26","0.67868","0.64188","-5.68768","0.099484","0.167594","0.0006029256","0.152336","0.45844","113.79364"
"2","2018-02-23","0.70324","0.68476","-5.40612","0.103268","0.1303536","5.0632e-05","0.15954","0.4648","122.32308"
"3","2018-03-30","0.72804","0.67","-5.37272","0.103056","0.1534632","0.000978384","0.2022","0.4772","118.1956"
"4","2018-04-27","0.71876","0.66956","-5.68352","0.156088","0.1385292","0.033371874","0.194436","0.49076","118.52112"
"5","2018-06-01","0.7078","0.65032","-6.0066","0.138032","0.1603936","0.0033229896","0.186072","0.432464","116.70244"
"6","2018-06-29","0.72376","0.63968","-6.19988","0.11566","0.292196","0.0003815056","0.1748","0.4884","115.67844"
"7","2018-07-27","0.741","0.6452","-6.03032","0.125024","0.239404","0.0013787032","0.170716","0.4584","112.34712"
"8","2018-08-31","0.72196","0.6878","-5.26","0.140068","0.2100732","0.0001626124","0.173424","0.45096","115.0644"
"9","2018-09-28","0.71856","0.66236","-6.06252","0.16672","0.1818732","0.0159095696","0.187832","0.42268","114.93168"
"10","2018-10-26","0.73128","0.59628","-6.42564","0.1349","0.2549812","0.013529052","0.1759","0.41812","112.26304"
"11","2018-11-30","0.68608","0.5958","-6.58368","0.11994","0.2673532","0.016258538","0.154184","0.38752","118.94864"
"12","2018-12-28","0.65808","0.57132","-7.3792","0.088368","0.3284772","3.49012e-05","0.18658","0.6138","125.75448"
"13","2017-01-27","0.68516","0.69144","-5.69576","0.12086","0.1804872","0.00020083","0.15676","0.492848","125.69108"
"14","2017-02-24","0.67868","0.66972","-5.51484","0.105992","0.1992892","3.13068e-05","0.130648","0.526888","123.47652"
"15","2017-03-31","0.71168","0.64424","-6.08216","0.1096","0.182796","0.0042786028","0.155828","0.517648","117.96612"
"16","2017-04-28","0.71584","0.64084","-5.91592","0.129516","0.17487848","0.0042794868","0.146796","0.5484","121.16072"
"17","2017-05-26","0.7234","0.6682","-5.56876","0.0972","0.14003408","0.018366284","0.123388","0.61136","118.31136"
"18","2017-06-30","0.72548","0.71224","-4.79908","0.079056","0.14669808","0.01408862","0.133712","0.63824","116.7922"
"19","2017-07-28","0.70212","0.71396","-4.97348","0.086012","0.12168208","0.0088084064","0.143876","0.6036","116.56324"
"20","2017-09-01","0.7172","0.69036","-4.97152","0.089612","0.1392504","0.008809668","0.152136","0.58984","116.51616"
"21","2017-09-29","0.71264","0.6308","-5.7098","0.102196","0.1603264","0.0088158612","0.16096","0.483708","120.94764"
"22","2017-10-27","0.6942","0.6174","-5.86428","0.095952","0.1603228","0.008818","0.147288","0.454988","121.296"
"23","2017-12-01","0.68192","0.63104","-5.5378","0.06776","0.2147232","0.0084106648","0.13022","0.463828","122.44368"
"24","2017-12-29","0.64628","0.5896","-6.51824","0.081804","0.2640444","1.1728e-05","0.16766","0.478828","120.25112"
